Task_ID,CPU_Usage (%),RAM_Usage (MB),Disk_IO (MB/s),Network_IO (MB/s),Priority,VM_ID,Execution_Time (s),Target (Optimal Scheduling)
0.0,0.078125,0.27421082477474634,0.648936170212766,0.2708333333333333,0.0,0.3333333333333339,0.6233333333333333,0.0
5.000250012500625e-05,0.421875,0.635120660323861,0.8404255319148936,0.5833333333333333,1.0,0.8888888888888893,0.4566666666666667,0.0
0.00010000500025001251,0.5,0.5083485602671539,0.3404255319148936,0.3541666666666667,0.5,0.0,0.7166666666666666,0.0
0.00015000750037501875,0.453125,0.19425367021611745,0.8723404255319148,0.6458333333333333,0.5,0.3333333333333339,0.9055555555555554,0.0
0.00020001000050002502,0.734375,0.5822569466322223,0.3936170212765957,0.7083333333333333,0.5,0.22222222222222143,0.71,0.0
0.00025001250062503126,0.625,0.5413647533236721,0.7553191489361701,0.8333333333333333,1.0,0.7777777777777768,0.3,1.0
0.0003000150007500375,0.203125,0.19009514208304454,0.9468085106382979,0.04166666666666667,0.0,0.5003168250792065,0.1122222222222222,1.0
0.00035001750087504374,0.75,0.0039064961250078745,0.6702127659574467,0.14583333333333331,1.0,0.11111111111111072,0.1988888888888889,1.0
0.00040002000100005,0.390625,0.334635498708336,0.5,0.9791666666666666,1.0,0.8888888888888893,0.09777777777777777,1.0
0.0004500225011250563,0.90625,0.4298405897548988,0.553191489361702,0.3541666666666667,0.5,0.11111111111111072,0.31,1.0
0.0005000250012500625,0.75,0.3674626677588053,0.776595744680851,0.49999999999999994,1.0,0.22222222222222143,0.14666666666666667,1.0
0.0005500275013750688,0.515625,0.47835675130741595,0.20212765957446807,0.6041666666666666,0.5,1.0,0.5777777777777777,0.0
0.000600030001500075,0.03125,0.055699073782370365,0.44680851063829785,0.22916666666666666,0.0,0.44444444444444464,0.1144444444444444,1.0
0.0006500325016250812,0.875,0.25927792829689367,0.6063829787234042,0.8124999999999999,1.0,0.5555555555555554,0.6222222222222222,0.0
0.0007000350017500875,0.734375,0.005040640161300486,0.23404255319148934,0.22916666666666666,1.0,0.5003168250792065,0.35777777777777775,1.0
0.0007500375018750937,0.234375,0.6111146115556675,0.5957446808510638,0.8958333333333333,1.0,0.8888888888888893,0.9788888888888889,0.0
0.0008000400020001,0.875,0.39657236469031565,0.6063829787234042,0.9374999999999999,0.0,1.0,0.40333333333333327,1.0
